"","accepted_binomial","pf1","a","b","c","Topt","Logit.Max","Model.Max","Topt.upp","Topt.low","Tmax","Tmin","Tbreadth","Toptbreadth","SEmax","SEmin","SEopt.upp","SEopt.low","SEopt","SEbreadth","SEoptbreadth","Family","clade5","Tmean_count","Af1","Af7"
"86","Carex echinata",1,-0.0144483444876137,0.590402858382531,-5.02700216345444,20.4315054533989,1.00440744691805,0.731924252304481,23.9538504452539,16.9091604615438,36.963531394194,3.89947951260377,33.0640518815902,7.04468998371008,NA,NA,NA,NA,NA,NA,NA,"Cyperaceae","Monocots",9,1,1
"87","Carex leersii",1,0.00445222463636198,-0.251981650706406,4.40784698306719,28.2983981365669,0.842508445667577,0.698993260494701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.05441873926,NA,NA,"Cyperaceae","Monocots",5,0,0
"88","Carex lepidocarpa",1,-0.0147180909668755,0.660987922390508,-7.96420788022404,22.4549475838316,-0.542983304811739,0.367493862840994,24.7853396968153,20.1245554708479,35.2284956351424,9.68139953252075,25.5470961026217,4.66078422596737,7.26880722861659,3.21246010011533,6.41687543856423,7.46731001965508,3.35642533402805,9.01379790940655,12.1988382461515,"Cyperaceae","Monocots",6,1,1
"89","Carlina vulgaris",1,-0.00814829798271311,0.330648116486623,-2.30169737155661,20.2893976869834,1.05262819336794,0.741279264992734,25.0565469822692,15.5222483916976,42.4375382986598,-1.85874292469295,44.2962812233528,9.53429859057159,35.5322027298625,21.5248796191929,9.13232957309791,10.38412696391,7.93950691941585,56.5647652379092,11.4156030053063,"Asteraceae","Asterids",5,1,1
"90","Carpinus betulus",1,-0.0694916050842669,2.04344108384112,-12.9764722217123,14.7027909440515,2.04567130938865,0.885509497358086,17.0357835630384,12.3697983250645,23.1767995489234,6.22878233917956,16.9480172097438,4.66598523797387,NA,NA,NA,NA,NA,NA,NA,"Betulaceae","Rosids",3,1,0
"91","Carpinus orientalis",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"92","Catapodium marinum",1,-0.0671482560845697,2.28817144033953,-11.9705873646521,17.0382045176103,7.52257912127786,0.999459556095794,25.3049920656357,8.77141696958488,29.5233646980064,4.5530443372141,24.9703203607923,16.5335750960508,NA,NA,NA,NA,NA,NA,NA,"Poaceae","Monocots",4,1,0
"93","Catapodium rigidum",1,-0.147507908596276,5.26989866622201,-43.963404553388,17.8631054984501,3.10497336704454,0.957097426055618,20.1927363868601,15.53347461004,24.2670703765646,11.4591406203355,12.8079297562292,4.65926177682014,NA,NA,NA,NA,NA,NA,NA,"Poaceae","Monocots",4,1,1
"94","Centaurea calcitrapa",1,-0.0322899329934563,1.05505408226975,-5.03031123113161,16.3371983844556,3.58800269305366,0.973090630612375,22.1306913895762,10.5437053793349,30.5606237559357,2.11377301297545,28.4468507429602,11.5869860102412,3.2379188907149,4.62183412214777,1.65952947367487,2.20946073183254,1.30294706498725,7.54322574064705,2.91218567099964,"Asteraceae","Asterids",4,1,0
"95","Centaurea jacea",1,-0.0256886023897859,0.862783781478805,-5.50564075656842,16.7931242110287,1.73877684824889,0.850531635816861,20.22002303015,13.3662253919074,30.2952406227703,3.29100779928712,27.0042328234831,6.85379763824263,3.10996230599459,2.9514127929954,11.0529731904123,11.1100543965727,0.480034075849272,5.98695875907145,22.1422970630793,"Asteraceae","Asterids",8,1,1
